Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,ACCT 209/599 LEC,10001,T,1/18/2022,5/10/2022,7:00 PM,8:15 PM,ONLINE ONLINE,Clarke
202211 (CS Spring)  ,ACCT 210/501 LEC,14103,TR,1/18/2022,5/10/2022,8:00 AM,9:15 AM,WCBA 114,Allen
202211 (CS Spring)  ,ACCT 229/200 EXAM,10003,T,4/26/2022,4/26/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/200 EXAM,10003,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/200 EXAM,10003,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/200 LEC,10003,MW,1/18/2022,5/10/2022,11:10 AM,12:25 PM,WCBA 462,Knoop
202211 (CS Spring)  ,ACCT 229/201 EXAM,27382,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/201 EXAM,27382,T,4/26/2022,4/26/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/201 EXAM,27382,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/201 LEC,27382,TR,1/18/2022,5/10/2022,9:35 AM,10:50 AM,WCBA 462,Knoop
202211 (CS Spring)  ,ACCT 229/202 EXAM,34562,T,4/26/2022,4/26/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/202 EXAM,34562,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/202 EXAM,34562,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Knoop
202211 (CS Spring)  ,ACCT 229/202 LEC,34562,TR,1/18/2022,5/10/2022,11:10 AM,12:25 PM,WCBA 462,Knoop
202211 (CS Spring)  ,ACCT 229/501 EXAM,10004,T,4/26/2022,4/26/2022,7:15 PM,9:00 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/501 EXAM,10004,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/501 EXAM,10004,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/501 LEC,10004,MW,1/18/2022,5/10/2022,12:45 PM,2:00 PM,WCBA 105,Barrett
202211 (CS Spring)  ,ACCT 229/502 EXAM,10005,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/502 EXAM,10005,T,4/26/2022,4/26/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/502 EXAM,10005,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/502 LEC,10005,MW,1/18/2022,5/10/2022,2:20 PM,3:35 PM,WCBA 105,Barrett
202211 (CS Spring)  ,ACCT 229/503 EXAM,10006,T,4/26/2022,4/26/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/503 EXAM,10006,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/503 EXAM,10006,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Barrett
202211 (CS Spring)  ,ACCT 229/503 LEC,10006,MW,1/18/2022,5/10/2022,3:55 PM,5:10 PM,WCBA 105,Barrett
202211 (CS Spring)  ,ACCT 229/504 EXAM,24413,T,4/26/2022,4/26/2022,7:15 PM,9:15 PM,,Head
202211 (CS Spring)  ,ACCT 229/504 EXAM,24413,T,2/22/2022,2/22/2022,7:15 PM,9:15 PM,,Head
202211 (CS Spring)  ,ACCT 229/504 EXAM,24413,T,3/29/2022,3/29/2022,7:15 PM,9:15 PM,,Head
